exp,cond,n,lam,seed,map,runId,durationS,events.dist_avg,events.dist_median,events.n_assign,events.n_block,events.n_fail,events.n_preempt,task.assignwait_avg,task.blocked_avg,task.lat_max,task.lat_median,task.lat_p95,task.n_done,taskReliable,throughput_per_h,vehicle.blocked_s,vehicle.f,vehicle.n_veh,vehicle.observed_s,vehicle.utilization,vehicle.working_s,vehicleReliable
E1,B0,15,8,1,v7,102,2443.209,15516.258064516129,11001,31,65,0,17,10.786306025,0.7224591375,73.355843,71.9651505,73.21677374999999,2,true,2.947,2236.645278,0.7636417621645017,15,3364.285664,0.8705918080445145,2928.919539,true
E1,B0,15,8,2,v7,106,2374.148,11227.318181818182,10000,22,65,2,9,16.3089855875,1.367004475,133.374697,59.048384,120.77155119999999,5,true,7.582,1724.015348,0.8080737090302167,8,2156.009869,0.9895537894682986,2133.487736,true
E1,B0,15,8,3,v7,107,2429.229,,,0,70,0,0,26.9624528,0,,,,0,true,0,0,,0,0,,0,true
E1,B0,15,8,4,v7,108,2322.844,,,0,70,0,0,22.4511278125,0,,,,0,true,0,0,,0,0,,0,true
E1,B0,15,8,5,v7,109,2453.088,,,0,70,0,0,27.473707325,0,,,,0,true,0,0,,0,0,,0,true
E1,B0,15,8,6,v7,110,2429.03,,,0,70,0,0,36.6114791125,0,,,,0,true,0,0,,0,0,,0,true
E1,B0,15,8,7,v7,111,2362.639,,,0,70,0,0,26.7553046375,0,,,,0,true,0,0,,0,0,,0,true
E1,B0,15,8,8,v7,112,2402.261,,,0,70,0,0,32.0659480125,0,,,,0,true,0,0,,0,0,,0,true
E1,B0,15,8,9,v7,114,2377.64,17093.8125,12500,32,60,0,12,0.021735949367088607,0.30782607594936706,67.948813,61.498754,66.9725929,7,true,10.599,1330.654078,0.5939223014913061,14,2602.903437,0.8607508877018706,2240.451444,true
E1,B0,15,8,10,v7,115,2345.08,19250,10500,4,70,0,2,31.1758024125,0,,,,0,true,0,539.37692,0.9121204935064414,15,595.347581,0.9932751083102158,591.343933,true
