exp,cond,n,lam,seed,map,runId,durationS,events.dist_avg,events.dist_median,events.n_assign,events.n_block,events.n_fail,events.n_preempt,task.assignwait_avg,task.blocked_avg,task.lat_max,task.lat_median,task.lat_p95,task.n_done,taskReliable,throughput_per_h,vehicle.blocked_s,vehicle.f,vehicle.n_veh,vehicle.observed_s,vehicle.utilization,vehicle.working_s,vehicleReliable
E1,B0,4,8,1,v7,117,4241.739,21928.714285714286,25500,28,61,0,6,32.4110245625,9.1449528875,255.861532,114.2234355,219.93123724999995,18,true,15.277,382.518197,0.22340979812874195,4,1785.997668,0.9586696895955857,1712.18183,true
E1,B0,4,8,2,v7,120,4175.057,18545.5,22500,22,67,0,5,39.7928974,30.4058227625,539.260451,275.905879,523.9543015999999,13,true,11.209,1787.995373,0.6630641363158014,15,2780.902878,0.9696723914138795,2696.564744,true
E1,B0,4,8,3,v7,123,4229.599,19636.454545454544,22000,22,62,0,6,39.93385858227848,10.706492113924051,240.815078,132.5691965,233.52562329999998,12,true,10.214,439.580602,0.3275296602017354,4,1382.892333,0.9705088855966634,1342.109297,true
E1,B0,4,8,4,v7,124,2133.52,23743.666666666668,25000,39,60,0,5,38.65910712820513,42.542992846153844,424.935463,180.173317,345.950869,30,true,50.621,165.720411,0.0713102621793,4,2411.649918,0.9636286505162646,2323.934956,true
E1,B0,4,8,5,v7,126,2156.319,21900.166666666668,25000.5,30,65,0,6,39.702673575,14.0687390625,234.170866,180.20919,224.90566135,20,true,33.39,707.991914,0.32554637108248835,15,2280.511916,0.9536370008601175,2174.780544,true
E1,B0,4,8,6,v7,128,2130.738,20315.894736842107,22000,19,59,0,4,39.3125871025641,4.641655102564102,287.348761,94.511913,250.68188250000003,11,true,18.585,411.661582,0.3240792425385104,4,1298.843442,0.9779852789986985,1270.249766,true
E1,B0,4,8,7,v7,130,2065.212,19250.1,23000,20,66,0,5,30.8349123,8.5525176125,423.676783,120.532058,344.949227,11,true,19.175,280.578372,0.24761161031014134,4,1164.801137,0.9728175582987948,1133.138998,true
E1,B0,4,8,8,v7,132,2151.653,23081.216216216217,24001,37,55,0,6,42.02826821052631,29.724358486842107,355.04955,158.84825,340.2815571,27,true,45.175,410.653033,0.17763836921884793,15,2424.650533,0.9534306410498292,2311.736112,true
E1,B0,4,8,9,v7,134,2079.063,21294.29411764706,25000,17,65,0,3,22.676983775,5.3213699375,225.935742,97.85683449999999,190.9650247499999,10,true,17.315,320.310063,0.29299344391829973,4,1123.309724,0.9732247880015682,1093.232868,true
E1,B0,4,8,10,v7,169,2047.581,21652.260869565216,24000,23,63,0,5,30.48169406329114,13.940066316455697,371.378444,128.592287,248.94115694999994,14,true,24.614,267.132837,0.20633495562137777,4,1332.470074,0.9716212478329926,1294.656236,true
