exp,cond,n,lam,seed,map,runId,durationS,events.dist_avg,events.dist_median,events.n_assign,events.n_block,events.n_fail,events.n_preempt,task.assignwait_avg,task.blocked_avg,task.lat_max,task.lat_median,task.lat_p95,task.n_done,taskReliable,throughput_per_h,vehicle.blocked_s,vehicle.f,vehicle.n_veh,vehicle.observed_s,vehicle.utilization,vehicle.working_s,vehicleReliable
E1,S1,15,8,2,v7,83,662.577,17537.6,15000,80,16,0,0,0.166981275,7.132069675,211.601853,72.06289799999999,139.34315999999998,80,true,434.666,1090.620625,0.16025628545122034,14,7084.729668,0.9605840051651777,6805.478,true
E1,S1,15,8,3,v7,84,724.054,20712.6,17500,80,16,0,0,3.5472056875,9.3243508375,363.067709,81.6499685,161.58877979999994,80,true,397.76,1657.660405,0.19740953887355664,15,10020.219384,0.8380119271049286,8397.063356,true
E1,S1,15,8,4,v7,85,682.913,17437.6,14500.5,80,19,0,0,1.2243750125,11.9922183875,245.156039,74.6778465,173.53940179999998,80,true,421.723,1614.231572,0.20303057849742734,15,9023.376351,0.8811205163928333,7950.68203,true
E1,S1,15,8,5,v7,86,784.188,21950.1,22000,80,16,0,0,3.23786935,8.827757925,277.969739,89.1856215,150.05500415,80,true,367.259,1841.189819,0.2118126953846236,15,10806.076901,0.8044119693610164,8692.537601,true
E1,S1,15,8,6,v7,87,720.53,14262.6,13000,80,10,0,0,0.165122375,5.27297115,154.108785,65.4527065,131.28333295,80,true,399.706,1095.767681,0.1514711327511118,15,9303.794259,0.7775503403895724,7234.168393,true
E1,S1,15,8,7,v7,88,695.234,19437.6,17500,80,23,0,0,5.90092325,18.170326625,240.623568,94.35580999999999,195.05617119999997,80,true,414.249,1376.886956,0.17377791699568076,15,9378.504603,0.8448315080493223,7923.256187,true
E1,S1,15,8,8,v7,89,692.476,19987.6,18000.5,80,13,0,0,1.351181375,4.53552935,205.209496,75.8322125,125.58571214999999,80,true,415.899,1382.168951,0.1721753458202501,15,9605.89223,0.8357039577155448,8027.682154,true
E1,S1,15,8,9,v7,90,704.234,21087.6,19000,80,22,0,0,2.4193772375,12.6028465625,266.979214,91.755515,183.71419949999998,80,true,408.955,1831.678776,0.21918420370572866,15,9804.764787,0.8523203969237655,8356.801015,true
E1,S1,15,8,1,v7,92,726.635,18212.6,16000,80,11,0,0,0.4294950625,3.7962944,177.306061,73.54247050000001,136.91216754999996,80,true,396.348,1394.655812,0.17803134632574732,15,9275.166316,0.8445956864931325,7833.765462,true
E1,S1,15,8,10,v7,93,616.795,19375.1,18000,80,18,0,0,2.5836547875,6.2690096,168.725413,82.752253,145.3945838,80,true,466.93,1596.709639,0.2080904983713774,15,8610.358235,0.8911534156395062,7673.150151,true
