exp,cond,n,lam,seed,map,runId,durationS,events.dist_avg,events.dist_median,events.n_assign,events.n_block,events.n_fail,events.n_preempt,task.assignwait_avg,task.blocked_avg,task.lat_max,task.lat_median,task.lat_p95,task.n_done,taskReliable,throughput_per_h,vehicle.blocked_s,vehicle.f,vehicle.n_veh,vehicle.observed_s,vehicle.utilization,vehicle.working_s,vehicleReliable
E1,S1,15,8,1,v7,174,775.486,20197.89010989011,17001,91,30,0,11,4.811191975,19.6478871125,354.799278,81.581745,238.10017094999998,80,true,371.38,1295.567746,0.1641352273841878,15,9424.149128,0.8375604788073979,7893.294856,true
E1,S1,15,8,2,v7,175,699.204,17312.614583333332,16000,96,34,0,16,1.9226345125,18.0890528,282.716901,83.72298950000001,181.71710894999993,80,true,411.897,1440.249805,0.1940264562904383,15,9393.280679,0.7902410278865681,7422.955779,true
E1,S1,15,8,3,v7,176,706.381,15725.373626373626,15000,91,28,0,11,2.076727675,12.814636075,227.067559,80.6984095,164.30394185,80,true,407.712,1479.645732,0.197165977645663,15,8723.327261,0.8602874821114658,7504.569245,true
E1,S1,15,8,4,v7,177,714.958,18640.550561797754,17000,89,34,0,9,8.0796592875,27.212825175,451.567507,105.43862050000001,225.5568766499999,80,true,402.821,1222.629209,0.16162927307698546,15,10220.536979,0.7401181139056079,7564.404552,true
E1,S1,15,8,5,v7,178,741.868,14835.4,14000,85,17,0,5,0.2503715,4.7027109125,136.891276,71.65863999999999,107.90719289999998,80,true,388.209,1011.387866,0.1521528911225192,15,8401.651945,0.7911755249461242,6647.181388,true
E1,S1,15,8,6,v7,179,707.592,15614.578313253012,15000,83,18,0,3,0.75422555,8.8786546625,212.325306,80.3248875,151.95693204999998,80,true,407.014,1532.574734,0.2001586181460198,15,8957.796519,0.8547639049133887,7656.801132,true
E1,S1,15,8,7,v7,180,678.224,16967.5,16000,92,33,0,12,5.54415535,19.015143275,305.965388,87.03706600000001,196.0117332,80,true,424.638,1429.016525,0.18530149163552262,15,9474.809185,0.8139315127537315,7711.845773,true
E1,S1,15,8,8,v7,181,702.902,14847.164705882353,13000,85,14,0,5,0.3128099625,6.2767091375,184.708434,71.77724,132.10269885,80,true,409.73,1314.950202,0.1760865441570813,15,9236.415938,0.8084993106771022,7467.635919,true
E1,S1,15,8,9,v7,182,713.498,17797.842696629214,17000,89,30,0,9,3.5550596625,14.1848048875,220.483933,88.089887,179.93073169999997,80,true,403.645,1501.490935,0.1937611200745961,15,9693.380337,0.7994307049338674,7749.185876,true
E1,S1,15,8,10,v7,183,640.74,17482.45882352941,17000,85,24,0,5,1.5452100375,12.0112366625,285.259817,86.39915049999999,164.7312669,80,false,449.48,1454.473552,0.19287538022041364,15,8702.719692,0.8665109153098527,7541.001606,true
