exp,cond,n,lam,seed,map,runId,durationS,events.dist_avg,events.dist_median,events.n_assign,events.n_block,events.n_fail,events.n_preempt,task.assignwait_avg,task.blocked_avg,task.lat_max,task.lat_median,task.lat_p95,task.n_done,taskReliable,throughput_per_h,vehicle.blocked_s,vehicle.f,vehicle.n_veh,vehicle.observed_s,vehicle.utilization,vehicle.working_s,vehicleReliable
E2,S1,15,11,1,v7,213,701.181,19325.932584269663,17000,89,32,0,9,8.252225075,35.9128378875,425.001654,93.519566,290.14054795,80,true,410.736,954.095734,0.13247241264250548,15,8566.084815,0.8407834180427736,7202.22207,true
E2,S1,15,11,2,v7,214,651.9,20673.77894736842,19000,95,48,0,15,8.0581272625,57.0367923125,379.109571,129.5266765,291.9989488,80,true,441.786,1264.554602,0.17459951796047934,15,8742.855532,0.8284022006873075,7242.600763,true
E2,S1,15,11,3,v7,215,746.121,21100.1,19000,90,44,0,10,20.756456625,60.8964560625,517.836329,137.7504395,435.5204703,80,true,385.996,1373.929677,0.16680724658155252,15,9967.882745,0.826316966572624,8236.630633,true
E2,S1,15,11,4,v7,216,647.044,20444.544444444444,19500.5,90,50,0,10,8.4327110625,51.8138140875,457.032131,128.161794,284.78606219999995,80,true,445.101,1301.914902,0.17914806763309998,15,8279.995904,0.8776883788661353,7267.256182,true
E2,S1,15,11,5,v7,217,665.137,19651.786516853932,20000,89,37,0,9,12.87455375,30.7297462,426.800211,106.1040145,248.0790972,80,true,432.994,1096.636237,0.1522260073049234,15,8709.603488,0.8271330075962235,7204.000528,true
E2,S1,15,11,6,v7,218,671.068,18287.459770114943,18000,87,36,0,7,11.251993675,27.8862029375,448.991578,99.9339545,270.4760187,80,true,429.167,1509.838527,0.1935014961573502,15,9044.00346,0.8627509695800138,7802.722754,true
E2,S1,15,11,7,v7,219,639.362,18821.168421052633,19000,95,49,0,15,10.866084325,61.270394725,453.485325,117.79551000000001,390.8224588999999,80,true,450.449,1508.779724,0.19754862707290846,15,8900.851312,0.8580651766088057,7637.510553,true
E2,S1,15,11,8,v7,220,626.178,19097.934782608696,18000,92,42,0,12,4.4207512375,25.1447036625,314.170243,92.704026,218.29176814999994,80,true,459.933,1081.171957,0.15010701751434383,15,8647.975653,0.832874025900082,7202.674298,true
E2,S1,15,11,9,v7,221,582.783,18010.860215053763,18000,93,42,0,13,4.6547370125,26.56429485,309.009325,92.6250455,213.78479879999998,80,true,494.181,973.259862,0.14340474643768714,15,7975.626377,0.8509430315807784,6786.803688,true
E2,S1,15,11,10,v7,222,667.864,20732.6511627907,18000,86,49,0,6,15.5366181875,57.275734175,493.464782,126.544844,331.19981244999997,80,true,431.226,1150.583067,0.1543751074941896,15,9016.923772,0.8265750785366626,7453.164475,true
